simp,freq,famsize,semrad,semfreq,semfamsize,phon,phonfreq,phonfam
豹,25.0568,9,豸,154.4593,4,勺,32712.9333,6
熹,0.9086,0,灬,6163.1901,20,喜,81.3679,5
靓,47.121,1,青,610.6025,5,见,2319.8963,5
鸵,1.2,1,鸟,608.1975,42,它,71.8667,10
筷,11.284,2,⺮,5914.6074,56,快,11.284,1
吆,1.5309,1,口,50016.563,297,幺,1.5309,1
檫,0.316,0,木,23327.0765,210,察,125.2494,3
礴,1.4272,1,石,1850.5235,61,薄,1.4272,1
鹃,1.2247,2,鸟,608.1975,42,肙,33.1852,5
舶,0.7309,2,舟,520.5333,12,白,887.2938,14
贾,10.5975,0,贝,3940.7309,52,覀,10.5975,1
虏,2.3259,1,虍,345.9309,7,虍,179.2,3
桡,0.1136,1,木,23327.0765,210,尧,310.7951,12
诹,0.0938,0,讠,19842.7358,108,取,431.9358,4
锃,0.316,1,钅,3731.8272,120,呈,254.2765,3
帷,2.6716,2,巾,5269.7481,32,隹,3055.7531,15
俾,23.2049,0,亻,51543.5654,164,卑,307.4914,7
瘴,0.6519,2,疒,1856.2963,68,章,50.8889,6
瓷,10.3901,10,瓦,206.5778,5,次,317.6741,6
嫉,27.6691,6,女,18584.642,96,疾,27.6691,1
砷,0.316,0,石,1850.5235,61,申,1260.7654,8
饺,53.5309,4,饣,1257.0617,27,交,676.4988,16
蒂,54.3309,6,艹,9164.7556,191,帝,75.7037,6
咯,234.3358,2,口,50016.563,297,各,2410.8593,18
荠,1.4519,1,艹,9164.7556,191,齐,162.5926,6
沈,31.3284,1,氵,19088.7556,238,冘,41.0025,3
鞠,4.6667,2,革,426.4889,10,匊,42.2617,3
躬,5.363,5,身,1313.5951,5,弓,49.7333,3
桦,2.3654,3,木,23327.0765,210,华,13.4272,2
膨,5.1506,3,月,21151.9802,115,彭,10.2074,3
稔,0.2716,2,禾,3095.6593,38,念,4.479,4
钛,1.4173,0,钅,3731.8272,120,太,504.879,5
瘌,0.0988,1,疒,1856.2963,68,剌,34.1185,2
氓,15.3284,2,氏,404.3654,3,亡,723.1605,8
瞧,87.4025,4,目,12024.3309,58,焦,120.1877,6
唏,2.558,1,口,50016.563,297,希,42.9333,3
荆,8.242,3,艹,9164.7556,191,刑,328.3457,2
翎,5.8123,0,羽,547.4469,17,令,1249.5654,16
拈,1.363,1,扌,19245.0025,233,占,4529.8963,14
苷,0.2123,1,艹,9164.7556,191,甘,9.2444,9
棵,13.7383,0,木,23327.0765,210,果,308.9235,8
坎,17.7284,7,土,17088.4346,84,欠,283.1852,5
笠,1.2198,1,⺮,5914.6074,56,立,552.0346,8
馄,4.4247,1,饣,1257.0617,27,昆,173.7086,4
饨,4.1877,1,饣,1257.0617,27,屯,279.8765,9
窖,6.4444,4,穴,1620.3358,24,告,616.8889,8
妪,0.0938,1,女,18584.642,96,区,148.5086,14
珥,0.084,1,王,7173.763,52,耳,6.6222,4
酩,0.6963,0,酉,1758.6815,30,名,64.8099,3
怵,0.2963,0,忄,9431.3086,100,术,270.1481,4
诏,0.4247,1,讠,19842.7358,108,召,2008.9086,12
龇,0.2864,1,齿,101.8469,10,此,78.6469,7
痒,28.0148,9,疒,1856.2963,68,羊,2463.358,12
惮,3.4568,2,忄,9431.3086,100,单,213.5012,7
萍,9.763,2,艹,9164.7556,191,泙,9.763,1
霹,5.6889,3,雨,2141.5901,24,辟,263.5901,10
雳,5.2543,3,雨,2141.5901,24,历,15.1111,4
殒,0.3605,2,歹,1254.7407,15,员,158.5481,4
哇,204.4444,5,口,50016.563,297,圭,976.8938,14
跻,0.7901,1,足,2994.2815,62,齐,162.5926,6
棱,3.1556,4,木,23327.0765,210,夌,146.5185,5
喝,508.8444,12,口,50016.563,297,曷,741.0321,9
尴,22.1136,1,尢,6019.8864,4,监,182.2272,6
尬,24.2914,1,尢,6019.8864,4,介,1102.7901,6
袤,0.3358,1,衣,2158.1333,18,矛,91.5457,3
桁,0.084,1,木,23327.0765,210,行,33.8617,2
擀,2.1926,1,扌,19245.0025,233,幹,2.1926,1
拎,6.8296,0,扌,19245.0025,233,令,1249.5654,16
胴,0.158,1,月,21151.9802,115,同,110.3556,7
伽,9.916,1,亻,51543.5654,164,加,670.1975,9
璀,25.3679,1,王,7173.763,52,崔,102.8889,3
璨,25.4667,1,王,7173.763,52,粲,25.4667,1
慷,5.9259,4,忄,9431.3086,100,康,6.7556,2
慨,30.9827,9,忄,9431.3086,100,既,110.563,5
簧,1.9111,6,⺮,5914.6074,56,黄,55.8914,6
糅,0.2716,1,米,2111.0864,32,柔,12.9284,3
剜,0.1679,0,刂,10927.3679,39,宛,93.8568,7
贻,0.4346,2,贝,3940.7309,52,台,1044.4,12
垃,46.4148,9,土,17088.4346,84,立,552.0346,8
巻,0.1827,0,己,3197.8123,6,卷,224.7605,7
崴,1.4716,0,山,1569.0568,42,威,1.4716,1
菅,0.4346,1,艹,9164.7556,191,官,629.5457,5
鳄,7.1753,1,魚,17.037,2,咢,11.6444,5
诤,0.1679,1,讠,19842.7358,108,争,446.9975,8
潘,13.516,0,氵,19088.7556,238,番,452.8198,6
疳,0.1185,1,疒,1856.2963,68,甘,9.2444,9
眛,0.0296,0,目,12024.3309,58,未,820.7358,7
亿,52.8148,5,亻,51543.5654,164,乙,370.0148,3
扒,10.0988,5,扌,19245.0025,233,八,43.3432,3
蘸,3.2691,0,艹,9164.7556,191,醮,3.2691,1
俄,47.1407,8,亻,51543.5654,164,我,1208.1235,7
犊,1.8568,1,牜,687.0074,8,卖,698.1531,8
衙,0.6963,1,行,1660.7457,6,吾,312.1975,10
阪,2.0444,1,阝,12852.079,66,反,1684.637,9
拄,1.1506,1,扌,19245.0025,233,主,1198.8593,7
荤,3.8963,2,艹,9164.7556,191,军,220.1235,8
癞,1.3679,2,疒,1856.2963,68,赖,99.0074,5
咛,0.8148,1,口,50016.563,297,宁,28.7605,5
姆,76.7309,3,女,18584.642,96,母,1050.7407,4
龌,1.9309,1,齿,101.8469,10,屋,172.3457,5
瞄,8.6815,1,目,12024.3309,58,苗,255.9901,6
黝,0.3951,2,黑,676.8296,10,幼,31.1407,5
冢,0.9235,0,冖,1009.2148,11,豖,8.4148,3
哐,0.642,1,口,50016.563,297,匡,21.6247,5
啷,1.2642,1,口,50016.563,297,郎,21.0914,4
叽,5.758,5,口,50016.563,297,几,1575.4617,7
攫,0.3901,1,扌,19245.0025,233,矍,0.3901,1
缭,3.7827,2,纟,11417.6494,100,尞,14.1679,8
璞,0.8988,3,王,7173.763,52,菐,10.6864,3
诶,26.6222,0,讠,19842.7358,108,矣,201.9901,5
帧,0.8148,1,巾,5269.7481,32,贞,53.1654,3
嗬,0.9086,0,口,50016.563,297,荷,0.9086,1
瑞,75.6741,8,王,7173.763,52,耑,510.8247,6
榈,2.1728,2,木,23327.0765,210,闾,2.1728,1
琦,3.7037,0,王,7173.763,52,奇,155.7136,10
杪,0.1284,0,木,23327.0765,210,少,617.2296,9
逊,22.4494,4,辶,28384.0494,81,孙,22.5086,2
晟,3.8716,0,日,29708.8296,72,成,845.7975,4
哦,968.9531,0,口,50016.563,297,我,1208.1235,7
沫,13.4123,5,氵,19088.7556,238,末,52.5284,3
啵,5.7432,0,口,50016.563,297,波,238.242,3
惕,5.2346,2,忄,9431.3086,100,易,93.0173,7
吱,5.1951,5,口,50016.563,297,支,271.7235,9
曦,7.6988,1,日,29708.8296,72,羲,7.6988,1
